rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
HOMICIDIO DOLOSO,-3,2022-12,2023-12,17,14,22143,ABASTO-REFORMA,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,10,12,31805,ALPES,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,2,2,4441,ANGEL-ZONA ROSA,2022-01,2023-01
HOMICIDIO DOLOSO,-6,2022-12,2023-12,15,9,30506,ARAGON,2022-01,2023-01
HOMICIDIO DOLOSO,-5,2022-12,2023-12,8,3,22309,ARENAL,2022-01,2023-01
HOMICIDIO DOLOSO,6,2022-12,2023-12,18,24,12999,ASTURIAS,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,9,9,9110,BUENAVISTA,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,0,0,13501,CHAPULTEPEC,2022-01,2023-01
HOMICIDIO DOLOSO,-3,2022-12,2023-12,9,6,13900,CHURUBUSCO,2022-01,2023-01
HOMICIDIO DOLOSO,6,2022-12,2023-12,6,12,23963,CLAVERIA,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,1,0,9495,COAPA,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,12,11,12135,CONGRESO,2022-01,2023-01
HOMICIDIO DOLOSO,6,2022-12,2023-12,15,21,15715,CONSULADO,2022-01,2023-01
HOMICIDIO DOLOSO,1,2022-12,2023-12,4,5,10129,CORREDOR-CENTRO,2022-01,2023-01
HOMICIDIO DOLOSO,-2,2022-12,2023-12,3,1,14705,COYOACAN,2022-01,2023-01
HOMICIDIO DOLOSO,5,2022-12,2023-12,2,7,24009,CUAJIMALPA,2022-01,2023-01
HOMICIDIO DOLOSO,-4,2022-12,2023-12,37,33,30453,CUAUTEPEC,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,5,5,20511,CUCHILLA,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,6,5,11851,CUITLAHUAC,2022-01,2023-01
HOMICIDIO DOLOSO,-2,2022-12,2023-12,7,5,18589,CULHUACAN,2022-01,2023-01
HOMICIDIO DOLOSO,-4,2022-12,2023-12,4,0,7971,DEL VALLE,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,3,2,24310,DINAMO,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,2,1,20452,EL YAQUI,2022-01,2023-01
HOMICIDIO DOLOSO,4,2022-12,2023-12,8,12,32788,ESTRELLA,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,19,21,38354,FUENTE,2022-01,2023-01
HOMICIDIO DOLOSO,-3,2022-12,2023-12,7,4,19129,GRANJAS,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,6,9,21186,HORMIGA,2022-01,2023-01
HOMICIDIO DOLOSO,15,2022-12,2023-12,12,27,33196,HUIPULCO-HOSPITALES,2022-01,2023-01
HOMICIDIO DOLOSO,-4,2022-12,2023-12,12,8,16877,IZTACCIHUATL,2022-01,2023-01
HOMICIDIO DOLOSO,-5,2022-12,2023-12,12,7,30260,LA NORIA,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,9,8,14968,LA RAZA,2022-01,2023-01
HOMICIDIO DOLOSO,-5,2022-12,2023-12,15,10,16393,LINDAVISTA,2022-01,2023-01
HOMICIDIO DOLOSO,-6,2022-12,2023-12,12,6,12330,MERCED-BALBUENA,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,8,11,24021,MILPA ALTA,2022-01,2023-01
HOMICIDIO DOLOSO,5,2022-12,2023-12,3,8,5681,MIXCALCO-HERALDO,2022-01,2023-01
HOMICIDIO DOLOSO,-2,2022-12,2023-12,23,21,33579,MIXQUIC,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,13,12,12102,MOCTEZUMA,2022-01,2023-01
HOMICIDIO DOLOSO,-4,2022-12,2023-12,17,13,12649,MORELOS,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,2,2,7856,NAPOLES,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,2,5,9808,NARVARTE-ALAMOS,2022-01,2023-01
HOMICIDIO DOLOSO,1,2022-12,2023-12,1,2,6406,NATIVITAS,2022-01,2023-01
HOMICIDIO DOLOSO,11,2022-12,2023-12,71,82,,NO ESPECIFICADO,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,25,28,24085,OASIS,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,10,13,47637,PADIERNA,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,11,11,13284,PANTITLAN,2022-01,2023-01
HOMICIDIO DOLOSO,5,2022-12,2023-12,23,28,45966,PLATEROS,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,0,2,5611,POLANCO-CASTILLO,2022-01,2023-01
HOMICIDIO DOLOSO,1,2022-12,2023-12,1,2,12243,PORTALES,2022-01,2023-01
HOMICIDIO DOLOSO,-1,2022-12,2023-12,21,20,36217,PRADERA,2022-01,2023-01
HOMICIDIO DOLOSO,9,2022-12,2023-12,22,31,43116,QUETZAL,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,15,17,30408,QUIROGA,2022-01,2023-01
HOMICIDIO DOLOSO,-2,2022-12,2023-12,6,4,4141,REVOLUCION-ALAMEDA,2022-01,2023-01
HOMICIDIO DOLOSO,0,2022-12,2023-12,6,6,7814,ROMA,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,1,3,7894,SAN ANGEL,2022-01,2023-01
HOMICIDIO DOLOSO,2,2022-12,2023-12,9,11,23185,SAN JERONIMO,2022-01,2023-01
HOMICIDIO DOLOSO,5,2022-12,2023-12,21,26,37989,SANTA CRUZ,2022-01,2023-01
HOMICIDIO DOLOSO,-14,2022-12,2023-12,29,15,40065,SANTA FE,2022-01,2023-01
HOMICIDIO DOLOSO,-3,2022-12,2023-12,9,6,31666,SOTELO,2022-01,2023-01
HOMICIDIO DOLOSO,1,2022-12,2023-12,11,12,18220,TACUBA,2022-01,2023-01
HOMICIDIO DOLOSO,6,2022-12,2023-12,3,9,13102,TACUBAYA,2022-01,2023-01
HOMICIDIO DOLOSO,3,2022-12,2023-12,3,6,14638,TAXQUEÑA,2022-01,2023-01
HOMICIDIO DOLOSO,-2,2022-12,2023-12,6,4,13235,TECOMITL,2022-01,2023-01
